"Data","Var% Dólar Comercial - PTAX Média Mensal, Venda (R$/US$)"
"02/1977","1,93"
"03/1977","2,36"
"04/1977","2,69"
"05/1977","2,62"
"06/1977","2,55"
"07/1977","2,63"
"08/1977","1,87"
"09/1977","1,63"
"10/1977","1,41"
"11/1977","1,85"
"12/1977","2,92"
"01/1978","1,51"
"02/1978","1,55"
"03/1978","2,02"
"04/1978","1,86"
"05/1978","2,47"
"06/1978","2,24"
"07/1978","1,74"
"08/1978","2,65"
"09/1978","2,42"
"10/1978","1,52"
"11/1978","2,53"
"12/1978","3,48"
"01/1979","3,46"
"02/1979","3,34"
"03/1979","3,24"
"04/1979","3,36"
"05/1979","5,04"
"06/1979","4,35"
"07/1979","1,79"
"08/1979","3,33"
"09/1979","6,67"
"10/1979","4,76"
"11/1979","4,61"
"12/1979","27,64"
"01/1980","8,37"
"02/1980","2,80"
"03/1980","3,70"
"04/1980","3,87"
"05/1980","3,04"
"06/1980","3,15"
"07/1980","2,90"
"08/1980","3,41"
"09/1980","3,59"
"10/1980","3,83"
"11/1980","4,32"
"12/1980","4,16"
"01/1981","5,71"
"02/1981","4,43"
"03/1981","5,47"
"04/1981","6,17"
"05/1981","6,43"
"06/1981","5,51"
"07/1981","5,97"
"08/1981","6,34"
"09/1981","5,36"
"10/1981","5,88"
"11/1981","5,81"
"12/1981","5,83"
"01/1982","5,11"
"02/1982","4,78"
"03/1982","5,41"
"04/1982","5,04"
"05/1982","5,09"
"06/1982","5,23"
"07/1982","5,59"
"08/1982","6,39"
"09/1982","6,86"
"10/1982","6,73"
"11/1982","6,62"
"12/1982","6,73"
"01/1983","7,24"
"02/1983","19,89"
"03/1983","26,94"
"04/1983","8,66"
"05/1983","9,05"
"06/1983","9,09"
"07/1983","10,15"
"08/1983","12,80"
"09/1983","9,02"
"10/1983","11,96"
"11/1983","10,92"
"12/1983","8,62"
"01/1984","7,92"
"02/1984","10,75"
"03/1984","12,33"
"04/1984","9,26"
"05/1984","8,86"
"06/1984","8,87"
"07/1984","10,41"
"08/1984","9,82"
"09/1984","10,51"
"10/1984","11,34"
"11/1984","11,44"
"12/1984","10,02"
"01/1985","11,81"
"02/1985","11,90"
"03/1985","10,53"
"04/1985","13,40"
"05/1985","10,99"
"06/1985","9,66"
"07/1985","8,32"
"08/1985","7,90"
"09/1985","11,18"
"10/1985","9,71"
"11/1985","9,06"
"12/1985","11,02"
"01/1986","14,10"
"02/1986","15,20"
"03/1986","6,22"
"04/1986","0,00"
"05/1986","0,00"
"06/1986","0,00"
"07/1986","0,00"
"08/1986","0,00"
"09/1986","0,00"
"10/1986","0,94"
"11/1986","0,98"
"12/1986","3,11"
"01/1987","7,92"
"02/1987","15,53"
"03/1987","15,82"
"04/1987","12,86"
"05/1987","29,84"
"06/1987","28,13"
"07/1987","13,93"
"08/1987","4,89"
"09/1987","5,81"
"10/1987","8,04"
"11/1987","10,04"
"12/1987","14,18"
"01/1988","14,70"
"02/1988","16,99"
"03/1988","17,94"
"04/1988","17,31"
"05/1988","19,85"
"06/1988","18,36"
"07/1988","21,05"
"08/1988","23,90"
"09/1988","22,00"
"10/1988","26,20"
"11/1988","27,80"
"12/1988","26,69"
"01/1989","35,47"
"02/1989","10,74"
"03/1989","0,00"
"04/1989","1,50"
"05/1989","8,28"
"06/1989","21,66"
"07/1989","43,16"
"08/1989","29,31"
"09/1989","32,00"
"10/1989","37,43"
"11/1989","39,15"
"12/1989","48,19"
"01/1990","54,58"
"02/1990","65,31"
"03/1990","59,34"
"04/1990","27,03"
"05/1990","9,06"
"06/1990","9,35"
"07/1990","16,46"
"08/1990","7,88"
"09/1990","5,27"
"10/1990","25,98"
"11/1990","29,39"
"12/1990","25,54"
"01/1991","24,97"
"02/1991","14,79"
"03/1991","3,76"
"04/1991","9,60"
"05/1991","8,25"
"06/1991","9,12"
"07/1991","10,42"
"08/1991","12,88"
"09/1991","15,53"
"10/1991","36,11"
"11/1991","26,81"
"12/1991","29,38"
"01/1992","25,00"
"02/1992","23,49"
"03/1992","22,71"
"04/1992","21,13"
"05/1992","19,60"
"06/1992","19,83"
"07/1992","21,57"
"08/1992","22,01"
"09/1992","23,53"
"10/1992","25,01"
"11/1992","25,39"
"12/1992","23,26"
"01/1993","26,08"
"02/1993","27,10"
"03/1993","25,75"
"04/1993","27,86"
"05/1993","28,93"
"06/1993","29,88"
"07/1993","30,49"
"08/1993","31,81"
"09/1993","34,38"
"10/1993","36,01"
"11/1993","36,10"
"12/1993","35,74"
"01/1994","39,89"
"02/1994","40,93"
"03/1994","39,45"
"04/1994","44,45"
"05/1994","42,89"
"06/1994","44,83"
"07/1994","11,77"
"08/1994","-3,72"
"09/1994","-3,72"
"10/1994","-2,22"
"11/1994","-0,50"
"12/1994","0,99"
"01/1995","-0,35"
"02/1995","-0,74"
"03/1995","5,78"
"04/1995","2,04"
"05/1995","-1,11"
"06/1995","1,85"
"07/1995","1,62"
"08/1995","1,42"
"09/1995","1,15"
"10/1995","0,72"
"11/1995","0,39"
"12/1995","0,51"
"01/1996","0,64"
"02/1996","0,68"
"03/1996","0,51"
"04/1996","0,42"
"05/1996","0,52"
"06/1996","0,60"
"07/1996","0,56"
"08/1996","0,65"
"09/1996","0,58"
"10/1996","0,57"
"11/1996","0,52"
"12/1996","0,67"
"01/1997","0,54"
"02/1997","0,61"
"03/1997","0,71"
"04/1997","0,40"
"05/1997","0,70"
"06/1997","0,59"
"07/1997","0,57"
"08/1997","0,67"
"09/1997","0,52"
"10/1997","0,59"
"11/1997","0,65"
"12/1997","0,57"
"01/1998","0,57"
"02/1998","0,64"
"03/1998","0,59"
"04/1998","0,66"
"05/1998","0,60"
"06/1998","0,57"
"07/1998","0,60"
"08/1998","0,88"
"09/1998","0,79"
"10/1998","0,64"
"11/1998","0,45"
"12/1998","0,98"
"01/1999","24,60"
"02/1999","27,42"
"03/1999","-0,88"
"04/1999","-10,69"
"05/1999","-0,63"
"06/1999","4,86"
"07/1999","1,98"
"08/1999","4,47"
"09/1999","0,93"
"10/1999","3,76"
"11/1999","-2,01"
"12/1999","-4,51"
"01/2000","-2,12"
"02/2000","-1,57"
"03/2000","-1,88"
"04/2000","1,50"
"05/2000","3,38"
"06/2000","-1,07"
"07/2000","-0,58"
"08/2000","0,63"
"09/2000","1,66"
"10/2000","2,20"
"11/2000","3,64"
"12/2000","0,79"
"01/2001","-0,45"
"02/2001","2,43"
"03/2001","4,35"
"04/2001","4,95"
"05/2001","4,78"
"06/2001","3,42"
"07/2001","3,80"
"08/2001","1,81"
"09/2001","6,42"
"10/2001","2,56"
"11/2001","-7,19"
"12/2001","-7,09"
"01/2002","0,64"
"02/2002","1,75"
"03/2002","-3,02"
"04/2002","-1,12"
"05/2002","6,90"
"06/2002","9,42"
"07/2002","8,13"
"08/2002","5,98"
"09/2002","7,46"
"10/2002","13,88"
"11/2002","-6,03"
"12/2002","1,38"
"01/2003","-5,17"
"02/2003","4,43"
"03/2003","-4,01"
"04/2003","-9,52"
"05/2003","-5,23"
"06/2003","-2,45"
"07/2003","-0,12"
"08/2003","4,26"
"09/2003","-2,65"
"10/2003","-2,10"
"11/2003","1,83"
"12/2003","0,39"
"01/2004","-2,51"
"02/2004","2,75"
"03/2004","-0,85"
"04/2004","0,02"
"05/2004","6,69"
"06/2004","0,93"
"07/2004","-2,95"
"08/2004","-1,12"
"09/2004","-3,72"
"10/2004","-1,32"
"11/2004","-2,34"
"12/2004","-2,43"
"01/2005","-0,93"
"02/2005","-3,54"
"03/2005","4,12"
"04/2005","-4,64"
"05/2005","-4,90"
"06/2005","-1,60"
"07/2005","-1,66"
"08/2005","-0,54"
"09/2005","-2,80"
"10/2005","-1,65"
"11/2005","-2,03"
"12/2005","3,38"
"01/2006","-0,51"
"02/2006","-4,93"
"03/2006","-0,46"
"04/2006","-1,05"
"05/2006","2,29"
"06/2006","3,22"
"07/2006","-2,62"
"08/2006","-1,53"
"09/2006","0,59"
"10/2006","-0,94"
"11/2006","0,45"
"12/2006","-0,37"
"01/2007","-0,53"
"02/2007","-1,97"
"03/2007","-0,36"
"04/2007","-2,71"
"05/2007","-2,48"
"06/2007","-2,51"
"07/2007","-2,54"
"08/2007","4,42"
"09/2007","-3,38"
"10/2007","-5,19"
"11/2007","-1,73"
"12/2007","0,91"
"01/2008","-0,66"
"02/2008","-2,63"
"03/2008","-1,16"
"04/2008","-1,10"
"05/2008","-1,68"
"06/2008","-2,51"
"07/2008","-1,70"
"08/2008","1,31"
"09/2008","11,62"
"10/2008","20,74"
"11/2008","4,30"
"12/2008","5,65"
"01/2009","-3,63"
"02/2009","0,23"
"03/2009","0,05"
"04/2009","-4,66"
"05/2009","-6,57"
"06/2009","-5,01"
"07/2009","-1,27"
"08/2009","-4,53"
"09/2009","-1,38"
"10/2009","-4,47"
"11/2009","-0,71"
"12/2009","1,40"
"01/2010","1,69"
"02/2010","3,47"
"03/2010","-3,03"
"04/2010","-1,64"
"05/2010","3,22"
"06/2010","-0,37"
"07/2010","-2,04"
"08/2010","-0,57"
"09/2010","-2,32"
"10/2010","-2,05"
"11/2010","1,77"
"12/2010","-1,16"
"01/2011","-1,09"
"02/2011","-0,41"
"03/2011","-0,53"
"04/2011","-4,38"
"05/2011","1,70"
"06/2011","-1,64"
"07/2011","-1,46"
"08/2011","2,11"
"09/2011","9,57"
"10/2011","1,30"
"11/2011","1,01"
"12/2011","2,59"
"01/2012","-2,57"
"02/2012","-3,98"
"03/2012","4,48"
"04/2012","3,32"
"05/2012","7,07"
"06/2012","3,18"
"07/2012","-1,00"
"08/2012","0,03"
"09/2012","-0,07"
"10/2012","0,09"
"11/2012","1,92"
"12/2012","0,44"
"01/2013","-2,25"
"02/2013","-2,85"
"03/2013","0,49"
"04/2013","0,99"
"05/2013","1,62"
"06/2013","6,79"
"07/2013","3,65"
"08/2013","4,00"
"09/2013","-3,06"
"10/2013","-3,61"
"11/2013","4,88"
"12/2013","2,18"
"01/2014","1,57"
"02/2014","0,06"
"03/2014","-2,42"
"04/2014","-4,01"
"05/2014","-0,53"
"06/2014","0,66"
"07/2014","-0,48"
"08/2014","1,95"
"09/2014","2,86"
"10/2014","4,95"
"11/2014","4,09"
"12/2014","3,57"
"01/2015","-0,19"
"02/2015","6,92"
"03/2015","11,47"
"04/2015","-3,07"
"05/2015","0,61"
"06/2015","1,63"
"07/2015","3,58"
"08/2015","9,03"
"09/2015","11,16"
"10/2015","-0,67"
"11/2015","-2,67"
"12/2015","2,51"
"01/2016","4,68"
"02/2016","-1,94"
"03/2016","-6,79"
"04/2016","-3,73"
"05/2016","-0,74"
"06/2016","-3,24"
"07/2016","-4,35"
"08/2016","-2,01"
"09/2016","1,46"
"10/2016","-2,17"
"11/2016","4,90"
"12/2016","0,31"
"01/2017","-4,64"
"02/2017","-2,89"
"03/2017","0,76"
"04/2017","0,26"
"05/2017","2,34"
"06/2017","2,68"
"07/2017","-2,71"
"08/2017","-1,72"
"09/2017","-0,51"
"10/2017","1,80"
"11/2017","2,14"
"12/2017","1,00"
"01/2018","-2,47"
"02/2018","0,96"
"03/2018","1,16"
"04/2018","3,91"
"05/2018","6,71"
"06/2018","3,77"
"07/2018","1,47"
"08/2018","2,64"
"09/2018","4,75"
"10/2018","-8,70"
"11/2018","0,75"
"12/2018","2,60"
"01/2019","-3,69"
"02/2019","-0,48"
"03/2019","3,30"
"04/2019","1,29"
"05/2019","2,70"
"06/2019","-3,57"
"07/2019","-2,06"
"08/2019","6,37"
"09/2019","2,53"
"10/2019","-0,85"
"11/2019","1,67"
"12/2019","-1,10"
"01/2020","0,97"
"02/2020","4,62"
"03/2020","12,51"
"04/2020","9,04"
"05/2020","5,97"
"06/2020","-7,92"
"07/2020","1,61"
"08/2020","3,43"
"09/2020","-1,13"
"10/2020","4,19"
"11/2020","-3,70"
"12/2020","-5,03"
"01/2021","4,09"
"02/2021","1,12"
"03/2021","4,24"
"04/2021","-1,49"
"05/2021","-4,87"
"06/2021","-4,90"
"07/2021","2,48"
"08/2021","1,84"

"Fonte : Econodados"
"econodados.com.br"
